attribute,subgroup,sample_size,approval_rate,high_risk_rate,precision,recall,false_positive_rate,false_negative_rate
CODE_GENDER,F,40561,0.8837,0.1163,0.2265,0.3766,0.0967,0.6234
CODE_GENDER,M,20940,0.7907,0.2093,0.2594,0.5341,0.1726,0.4659
NAME_EDUCATION_TYPE,Academic degree,40,1.0,0.0,0.0,0.0,0.0,1.0
NAME_EDUCATION_TYPE,Higher education,15061,0.9315,0.0685,0.2085,0.2746,0.0572,0.7254
NAME_EDUCATION_TYPE,Incomplete higher,1988,0.836,0.164,0.2454,0.5096,0.1344,0.4904
NAME_EDUCATION_TYPE,Lower secondary,791,0.8129,0.1871,0.2432,0.439,0.158,0.561
NAME_EDUCATION_TYPE,Secondary / secondary special,43623,0.8259,0.1741,0.2468,0.4754,0.1441,0.5246
NAME_INCOME_TYPE,Commercial associate,14344,0.8697,0.1303,0.2183,0.4032,0.1096,0.5968
NAME_INCOME_TYPE,Pensioner,11228,0.9487,0.0513,0.2205,0.2058,0.0423,0.7942
NAME_INCOME_TYPE,State servant,4185,0.9168,0.0832,0.2213,0.3422,0.0684,0.6578
NAME_INCOME_TYPE,Working,31731,0.8014,0.1986,0.2523,0.5119,0.1646,0.4881
REGION_RATING_CLIENT,1,6442,0.9278,0.0722,0.2,0.3069,0.0606,0.6931
REGION_RATING_CLIENT,2,45353,0.8575,0.1425,0.2379,0.4277,0.1179,0.5723
REGION_RATING_CLIENT,3,9708,0.7762,0.2238,0.2646,0.5384,0.185,0.4616
