threshold,precision,recall,f1_score,false_positives,false_negatives,true_positives,true_negatives
0.1,0.08389934116688175,0.9951661631419939,0.15475202405374508,53951,24,4941,2587
0.11,0.08479758162862197,0.9943605236656596,0.15626879372012786,53284,28,4937,3254
0.12,0.08569440820940952,0.9923464249748237,0.15776496958053154,52568,38,4927,3970
0.13,0.08666737228337568,0.9895266868076535,0.15937586167745285,51775,52,4913,4763
0.14,0.08788883908561183,0.9873111782477342,0.1614092854790912,50873,63,4902,5665
0.15,0.0890445952850157,0.9828801611278952,0.1632953537787147,49924,85,4880,6614
0.16,0.09036547318377655,0.980060422960725,0.16547361977794026,48982,99,4866,7556
0.17,0.09184794967027969,0.9762336354481369,0.16789926736754593,47925,118,4847,8613
0.18,0.09320707314716398,0.9713997985901309,0.17009345794392525,46922,142,4823,9616
0.19,0.09476343682766517,0.9669687814702921,0.17261091536636225,45862,164,4801,10676
0.2,0.0962892713735144,0.961127895266868,0.17504218325874843,44787,193,4772,11751
0.21,0.09792591063873697,0.9556898288016112,0.17764882066641707,43710,220,4745,12828
0.22,0.0995352767215885,0.9490433031218529,0.18017397954306472,42628,253,4712,13910
0.23,0.10124883665562842,0.942195367573011,0.18284865540963102,41525,287,4678,15013
0.24,0.10313990902030401,0.9361530715005035,0.18580851489106537,40417,317,4648,16121
0.25,0.10511828935395814,0.9307150050352467,0.1889013796627491,39339,344,4621,17199
0.26,0.1071320323611014,0.9254783484390735,0.1920344366432631,38296,370,4595,18242
0.27,0.1089142091152815,0.9164149043303121,0.19468988682313174,37226,415,4550,19312
0.28,0.11119854423843013,0.9107754279959718,0.19819859306173435,36144,443,4522,20394
0.29,0.1132727731516528,0.9041289023162135,0.20132301827559143,35141,476,4489,21397
0.3,0.11518528116092251,0.8952668680765358,0.20410974629778442,34145,520,4445,22393
0.31,0.11751053726724645,0.8872104733131924,0.20753339143954205,33081,560,4405,23457
0.32,0.11972411519015168,0.8775427995971803,0.2107019367942549,32035,608,4357,24503
0.33,0.12208431111990727,0.8696878147029204,0.2141121634353151,31051,647,4318,25487
0.34,0.12449752403145936,0.8608257804632427,0.2175340374093396,30056,691,4274,26482
0.35,0.1267106842737095,0.8503524672708963,0.2205563536633146,29098,743,4222,27440
0.36,0.12935277184511096,0.8416918429003021,0.224243399871217,28128,786,4179,28410
0.37,0.13164023864977825,0.831017119838872,0.22727773493444972,27217,839,4126,29321
0.38,0.13427922441320736,0.8215508559919436,0.23083017373097164,26298,886,4079,30240
0.39,0.13736879649444614,0.8145015105740181,0.23508894314614578,25395,921,4044,31143
0.4,0.13964484606493643,0.8030211480362538,0.23791621911922664,24564,978,3987,31974
0.41,0.1426089474446214,0.7935548841893253,0.24176970515141288,23688,1025,3940,32850
0.42,0.14510214772132007,0.781067472306143,0.24473825376289798,22848,1087,3878,33690
0.43,0.1479115859559478,0.7695871097683786,0.24813299564906813,22012,1144,3821,34526
0.44,0.15053806456774813,0.7579053373615308,0.25118483412322273,21234,1202,3763,35304
0.45,0.15318937290172835,0.7444108761329306,0.25409047160731474,20431,1269,3696,36107
0.46,0.15643394199785177,0.7333333333333333,0.2578611898016997,19634,1324,3641,36904
0.47,0.15929952767133054,0.7200402819738168,0.2608822563578648,18867,1390,3575,37671
0.48,0.16283915177331235,0.7083585095669688,0.2648044272107819,18081,1448,3517,38457
0.49,0.16649048625792812,0.6978851963746223,0.2688443185785778,17347,1500,3465,39191
0.5,0.16962899914885096,0.6823766364551863,0.2717138503488652,16585,1577,3388,39953
0.51,0.17341884352677409,0.6698892245720041,0.27551358515573227,15853,1639,3326,40685
0.52,0.17771883289124668,0.6612286002014098,0.2801433569417186,15190,1682,3283,41348
0.53,0.18118152038856886,0.646122860020141,0.2830047196859424,14498,1757,3208,42040
0.54,0.18519832121534552,0.6310171198388721,0.28635408097980075,13784,1832,3133,42754
0.55,0.18909899888765294,0.6163141993957704,0.2894027521634274,13122,1905,3060,43416
0.56,0.19234251713879189,0.598992950654582,0.2911832378714447,12488,1991,2974,44050
0.57,0.1965227979975646,0.5850956696878147,0.2942219071251329,11877,2060,2905,44661
0.58,0.19974437264787331,0.5665659617321249,0.29535909281814365,11270,2152,2813,45268
0.59,0.2046096654275093,0.5542799597180262,0.298886777083899,10698,2213,2752,45840
0.6,0.2084438894958639,0.5379657603222557,0.30046684290455034,10143,2294,2671,46395
0.61,0.21356659514771414,0.5212487411883182,0.30299127787859276,9530,2377,2588,47008
0.62,0.21860019175455417,0.5051359516616314,0.30514661150991607,8965,2457,2508,47573
0.63,0.22309107635694572,0.48841893252769386,0.30628354910009475,8445,2540,2425,48093
0.64,0.22940716102523967,0.47230614300100704,0.3088167511687628,7877,2620,2345,48661
0.65,0.23632954900531195,0.4569989929506546,0.31154743924207057,7332,2696,2269,49206
0.66,0.24325524591984013,0.4412890231621349,0.313627254509018,6816,2774,2191,49722
0.67,0.24901797405070825,0.42134944612286,0.31303306898099653,6309,2873,2092,50229
0.68,0.25494223363286267,0.4,0.31140729125833005,5804,2979,1986,50734
0.69,0.26171712982165074,0.3812688821752266,0.31037875061485487,5340,3072,1893,51198
0.7,0.2681040892193309,0.3631419939577039,0.30846877673224976,4922,3162,1803,51616
0.71,0.2777326620107195,0.34441087613293053,0.30749865132170473,4447,3255,1710,52091
0.72,0.28861571352218063,0.32628398791540786,0.30629608621667614,3993,3345,1620,52545
0.73,0.2999018645731109,0.30775427995971805,0.30377733598409545,3567,3437,1528,52971
0.74,0.31067538126361655,0.2872104733131923,0.2984824699110413,3164,3539,1426,53374
0.75,0.3166585721223895,0.26263846928499496,0.28712980292854784,2814,3661,1304,53724
0.76,0.322947710647521,0.24008056394763344,0.2754158964879852,2499,3773,1192,54039
0.77,0.33446049800184446,0.21913393756294058,0.2647846191287418,2165,3877,1088,54373
0.78,0.3434201266713582,0.19657603222557907,0.25003202254387086,1866,3989,976,54672
0.79,0.3535889070146819,0.17462235649546828,0.2337872455170554,1585,4098,867,54953
0.8,0.3668582375478927,0.1542799597180262,0.21721253367361407,1322,4199,766,55216
0.81,0.38655944859276276,0.13554884189325278,0.20071577691619447,1068,4292,673,55470
0.82,0.40236275191104937,0.11661631419939578,0.18082448469706433,860,4386,579,55678
0.83,0.42670157068062825,0.09848942598187312,0.16003927344133528,657,4476,489,55881
0.84,0.4392935982339956,0.08016112789526687,0.13558167262817236,508,4567,398,56030
0.85,0.4542897327707454,0.06505538771399799,0.11381254404510219,388,4642,323,56150
0.86,0.4980237154150198,0.05075528700906345,0.09212209833668433,254,4713,252,56284
0.87,0.5224274406332454,0.03987915407854985,0.07410179640718563,181,4767,198,56357
0.88,0.5444015444015444,0.0283987915407855,0.053981623277182235,118,4824,141,56420
0.89,0.5833333333333334,0.01973816717019134,0.03818429768166764,70,4867,98,56468
0.9,0.6170212765957447,0.011681772406847936,0.022929432694208343,36,4907,58,56502
